municipality_code,municipality_name,geography_level,age_code,age_band,income_code,income_band,population_15plus,population_municipality_age,estimated_count,p_age_income_given_municipality,p_income_given_municipality_age,p_age_given_municipality,p_age_income_given_municipality_without_tax_proxy
01100,札幌市,municipality,01,15～19歳,I01,50万円未満（就業収入なしを含む）,1758009,85534,76020.65,0.043242469,0.88877697,0.048653903,0.043323695
01100,札幌市,municipality,01,15～19歳,I02,50～100万円未満,1758009,85534,5389.0703,0.0030654395,0.063005007,0.048653903,0.0030552519
01100,札幌市,municipality,01,15～19歳,I03,100～150万円未満,1758009,85534,1434.9302,0.0008162246,0.016776138,0.048653903,0.00079937626
01100,札幌市,municipality,01,15～19歳,I04,150～200万円未満,1758009,85534,972.89643,0.0005534081,0.011374382,0.048653903,0.000536822
01100,札幌市,municipality,01,15～19歳,I05,200～250万円未満,1758009,85534,1235.0723,0.00070254038,0.014439548,0.048653903,0.00067687244
01100,札幌市,municipality,01,15～19歳,I06,250～300万円未満,1758009,85534,274.45919,0.00015611933,0.003208773,0.048653903,0.00014989547
01100,札幌市,municipality,01,15～19歳,I07,300～400万円未満,1758009,85534,206.92195,0.00011770244,0.0024191778,0.048653903,0.00011198994
01100,札幌市,municipality,01,15～19歳,I08,400～500万円未満,1758009,85534,0,0,0,0.048653903,0
01100,札幌市,municipality,01,15～19歳,I09,500～600万円未満,1758009,85534,0,0,0,0.048653903,0
01100,札幌市,municipality,01,15～19歳,I10,600～700万円未満,1758009,85534,0,0,0,0.048653903,0
01100,札幌市,municipality,01,15～19歳,I11,700～800万円未満,1758009,85534,0,0,0,0.048653903,0
01100,札幌市,municipality,01,15～19歳,I12,800～900万円未満,1758009,85534,0,0,0,0.048653903,0
01100,札幌市,municipality,01,15～19歳,I13,900～1000万円未満,1758009,85534,0,0,0,0.048653903,0
01100,札幌市,municipality,01,15～19歳,I14,1000～1250万円未満,1758009,85534,0,0,0,0.048653903,0
01100,札幌市,municipality,01,15～19歳,I15,1250～1500万円未満,1758009,85534,0,0,0,0.048653903,0
01100,札幌市,municipality,01,15～19歳,I16,1500万円以上,1758009,85534,0,0,0,0.048653903,0
01100,札幌市,municipality,02,20～24歳,I01,50万円未満（就業収入なしを含む）,1758009,100972,39578.035,0.022512988,0.3919704,0.057435428,0.022713427
01100,札幌市,municipality,02,20～24歳,I02,50～100万円未満,1758009,100972,9231.5684,0.0052511497,0.091427014,0.057435428,0.005363777
01100,札幌市,municipality,02,20～24歳,I03,100～150万円未満,1758009,100972,4673.8503,0.0026586043,0.046288578,0.057435428,0.002678616
