municipality_code,municipality_name,age_band,sex,education_code,education,estimated_population,p_age_sex_education_ge500_given_municipality,p_ge500_given_municipality_age_sex_education
01100,札幌市,35～39歳,男,E01,小学校・中学校,2593.015658,0.0001548666497,0.1049962668
01100,札幌市,35～39歳,男,E02,高校・旧中相当,13746.39693,0.001534393935,0.1962316642
01100,札幌市,35～39歳,男,E03,短大・高専等,8233.363421,0.001217218348,0.2599036021
01100,札幌市,35～39歳,男,E04,大学等,17343.23368,0.004525019787,0.4586817924
01100,札幌市,35～39歳,男,E05,大学院,2433.621551,0.0009207784647,0.6651555281
01100,札幌市,35～39歳,男,E06,在学中,255.1489897,4.563990739e-05,0.3144647684
01100,札幌市,35～39歳,男,E07,未就学,26.5650386,3.445400332e-06,0.2280081306
01100,札幌市,35～39歳,男,E08,不詳,14372.65473,0.00257788311,0.3153169539
01100,札幌市,35～39歳,女,E01,小学校・中学校,2224.835658,4.449690027e-06,0.003516032784
01100,札幌市,35～39歳,女,E02,高校・旧中相当,15293.75091,0.0001048080916,0.01204763758
01100,札幌市,35～39歳,女,E03,短大・高専等,17939.06203,0.0003887148655,0.03809364341
01100,札幌市,35～39歳,女,E04,大学等,13551.90594,0.0009236607553,0.1198210737
01100,札幌市,35～39歳,女,E05,大学院,1009.674807,0.0001442919022,0.2512358048
01100,札幌市,35～39歳,女,E06,在学中,239.3659297,1.220295625e-05,0.08962389483
01100,札幌市,35～39歳,女,E07,未就学,19.1627887,4.954248057e-07,0.0454506534
01100,札幌市,35～39歳,女,E08,不詳,13079.24194,0.0004654253596,0.06255882221
13103,港区,35～39歳,男,E01,小学校・中学校,80.96817798,9.517121343e-05,0.2653734515
13103,港区,35～39歳,男,E02,高校・旧中相当,641.4362152,0.001125090649,0.3960046374
13103,港区,35～39歳,男,E03,短大・高専等,335.4395945,0.0007094130414,0.4774754829
13103,港区,35～39歳,男,E04,大学等,3030.523233,0.01004186896,0.7481060468
13103,港区,35～39歳,男,E05,大学院,1434.293438,0.005780939666,0.9099691273
13103,港区,35～39歳,男,E06,在学中,63.09208674,0.0002154482012,0.7709642031
13103,港区,35～39歳,男,E07,未就学,0,0,
13103,港区,35～39歳,男,E08,不詳,5616.247254,0.01571602502,0.6317754203
13103,港区,35～39歳,女,E01,小学校・中学校,76.41343502,4.671767334e-06,0.01380313437
13103,港区,35～39歳,女,E02,高校・旧中相当,686.6883012,0.0001417743214,0.04661268946
13103,港区,35～39歳,女,E03,短大・高専等,966.5266916,0.0004777380051,0.1115943412
13103,港区,35～39歳,女,E04,大学等,3823.769593,0.00575050845,0.3395320406
13103,港区,35～39歳,女,E05,大学院,821.9607334,0.00235836657,0.6477784143
13103,港区,35～39歳,女,E06,在学中,76.41343502,0.0001444908913,0.4269106412
13103,港区,35～39歳,女,E07,未就学,0,0,
13103,港区,35～39歳,女,E08,不詳,6276.227811,0.006973328954,0.2508462926
13121,足立区,35～39歳,男,E01,小学校・中学校,884.7260362,0.0003304345899,0.2313567906
13121,足立区,35～39歳,男,E02,高校・旧中相当,4330.834125,0.00249695685,0.3571453856
13121,足立区,35～39歳,男,E03,短大・高専等,1955.044185,0.001427679914,0.4523554514
13121,足立区,35～39歳,男,E04,大学等,5974.800621,0.006878340748,0.7131252687
13121,足立区,35～39歳,男,E05,大学院,1126.206682,0.001612927408,0.8871606657
13121,足立区,35～39歳,男,E06,在学中,52.72503195,5.555078302e-05,0.6526478167
13121,足立区,35～39歳,男,E07,未就学,5.272503195,3.868890402e-06,0.4545431651
13121,足立区,35～39歳,男,E08,不詳,8772.390816,0.00807218643,0.570005135
13121,足立区,35～39歳,女,E01,小学校・中学校,660.4726688,9.825836458e-06,0.009215528296
13121,足立区,35～39歳,女,E02,高校・旧中相当,4018.738088,0.0002032033939,0.03132180708
13121,足立区,35～39歳,女,E03,短大・高専等,3848.961415,0.0005276964499,0.08492707589
13121,足立区,35～39歳,女,E04,大学等,4825.177287,0.002081889854,0.267269887
13121,足立区,35～39歳,女,E05,大学院,466.8858521,0.0004178175171,0.5543467253
