area,name,taxable_income_million_yen,income_taxpayers,fiscal_year
01000,北海道,7409865.0,2333398.0,2022
01100,札幌市,3056638.0,911410.0,2022
01101,中央区,,,2022
01102,北区,,,2022
01103,東区,,,2022
01104,白石区,,,2022
01105,豊平区,,,2022
01106,南区,,,2022
01107,西区,,,2022
01108,厚別区,,,2022
01109,手稲区,,,2022
01110,清田区,,,2022
01202,函館市,316463.0,105733.0,2022
01203,小樽市,126726.0,45693.0,2022
01204,旭川市,422951.0,141800.0,2022
01205,室蘭市,105103.0,34228.0,2022
01206,釧路市,210751.0,71281.0,2022
01207,帯広市,252819.0,78575.0,2022
01208,北見市,162397.0,52074.0,2022
01209,夕張市,6656.0,2703.0,2022
01210,岩見沢市,97986.0,33616.0,2022
01211,網走市,56886.0,16163.0,2022
01212,留萌市,27438.0,9188.0,2022
01213,苫小牧市,240351.0,78035.0,2022
01214,稚内市,52399.0,15442.0,2022
01215,美唄市,22598.0,8039.0,2022
01216,芦別市,11984.0,4721.0,2022
01217,江別市,151370.0,51167.0,2022
01218,赤平市,9379.0,3590.0,2022
01219,紋別市,33227.0,9612.0,2022
01220,士別市,22092.0,7254.0,2022
01221,名寄市,38035.0,12363.0,2022
01222,三笠市,7610.0,2933.0,2022
01223,根室市,33775.0,10915.0,2022
01224,千歳市,149530.0,48136.0,2022
01225,滝川市,50269.0,17209.0,2022
01226,砂川市,21039.0,6966.0,2022
01227,歌志内市,2648.0,1078.0,2022
01228,深川市,23355.0,8151.0,2022
01229,富良野市,30397.0,9178.0,2022
01230,登別市,56416.0,20111.0,2022
01231,恵庭市,95420.0,32241.0,2022
01233,伊達市,40064.0,14067.0,2022
01234,北広島市,76750.0,25241.0,2022
01235,石狩市,70964.0,24401.0,2022
01236,北斗市,52797.0,19236.0,2022
01303,当別町,19279.0,6607.0,2022
01304,新篠津村,3736.0,1244.0,2022
01331,松前町,6490.0,2150.0,2022
01332,福島町,3673.0,1178.0,2022
01333,知内町,4428.0,1649.0,2022
01334,木古内町,4129.0,1501.0,2022
01337,七飯町,31939.0,11845.0,2022
01343,鹿部町,3616.0,1393.0,2022
01345,森町,15532.0,5684.0,2022
01346,八雲町,20009.0,6698.0,2022
01347,長万部町,5761.0,1985.0,2022
01361,江差町,9153.0,3002.0,2022
01362,上ノ国町,5252.0,1738.0,2022
01363,厚沢部町,4564.0,1428.0,2022
01364,乙部町,3741.0,1310.0,2022
01367,奥尻町,3427.0,1079.0,2022
01370,今金町,6247.0,2052.0,2022
01371,せたな町,8136.0,2832.0,2022
01391,島牧村,1461.0,480.0,2022
01392,寿都町,3501.0,1107.0,2022
01393,黒松内町,3077.0,1075.0,2022
01394,蘭越町,5425.0,1858.0,2022
01395,ニセコ町,6931.0,2220.0,2022
01396,真狩村,2814.0,847.0,2022
01397,留寿都村,3186.0,994.0,2022
01398,喜茂別町,2588.0,877.0,2022
01399,京極町,3876.0,1321.0,2022
01400,倶知安町,24950.0,7442.0,2022
01401,共和町,8219.0,2525.0,2022
01402,岩内町,14549.0,4838.0,2022
01403,泊村,2136.0,685.0,2022
01404,神恵内村,1225.0,341.0,2022
01405,積丹町,1742.0,620.0,2022
01406,古平町,2526.0,934.0,2022
01407,仁木町,3483.0,1144.0,2022
01408,余市町,20033.0,7234.0,2022
01409,赤井川村,1394.0,463.0,2022
01423,南幌町,9685.0,3226.0,2022
01424,奈井江町,5873.0,2083.0,2022
01425,上砂川町,2235.0,914.0,2022
01427,由仁町,7111.0,2062.0,2022
01428,長沼町,14211.0,4627.0,2022
01429,栗山町,13755.0,4804.0,2022
01430,月形町,3464.0,1212.0,2022
01431,浦臼町,1848.0,656.0,2022
01432,新十津川町,7324.0,2567.0,2022
01433,妹背牛町,3291.0,1108.0,2022
01434,秩父別町,2810.0,994.0,2022
01436,雨竜町,2762.0,973.0,2022
01437,北竜町,1960.0,672.0,2022
01438,沼田町,3859.0,1306.0,2022
01452,鷹栖町,7899.0,2761.0,2022
01453,東神楽町,13669.0,4402.0,2022
01454,当麻町,6541.0,2500.0,2022
01455,比布町,3960.0,1420.0,2022
01456,愛別町,2700.0,998.0,2022
01457,上川町,3635.0,1377.0,2022
01458,東川町,11405.0,3404.0,2022
01459,美瑛町,11679.0,3997.0,2022
01460,上富良野町,13965.0,4781.0,2022
01461,中富良野町,7175.0,1935.0,2022
01462,南富良野町,2994.0,1030.0,2022
01463,占冠村,1719.0,645.0,2022
01464,和寒町,3514.0,1189.0,2022
01465,剣淵町,3416.0,1201.0,2022
01468,下川町,3711.0,1265.0,2022
01469,美深町,4814.0,1658.0,2022
01470,音威子府村,1085.0,325.0,2022
01471,中川町,2006.0,635.0,2022
01472,幌加内町,1985.0,615.0,2022
01481,増毛町,4457.0,1604.0,2022
01482,小平町,3514.0,1217.0,2022
01483,苫前町,3815.0,1202.0,2022
01484,羽幌町,8254.0,2774.0,2022
01485,初山別村,1485.0,469.0,2022
01486,遠別町,3331.0,1082.0,2022
01487,天塩町,4748.0,1431.0,2022
01511,猿払村,10237.0,1399.0,2022
01512,浜頓別町,6533.0,1763.0,2022
01513,中頓別町,2148.0,728.0,2022
01514,枝幸町,17076.0,3691.0,2022
01516,豊富町,5345.0,1786.0,2022
01517,礼文町,3951.0,1176.0,2022
01518,利尻町,3028.0,927.0,2022
01519,利尻富士町,2840.0,955.0,2022
01520,幌延町,3555.0,1068.0,2022
01543,美幌町,25420.0,8404.0,2022
01544,津別町,5371.0,1813.0,2022
01545,斜里町,18743.0,5212.0,2022
01546,清里町,6192.0,1814.0,2022
01547,小清水町,7312.0,2246.0,2022
01549,訓子府町,7509.0,2135.0,2022
01550,置戸町,3484.0,1124.0,2022
01552,佐呂間町,8458.0,2163.0,2022
01555,遠軽町,25374.0,8460.0,2022
01559,湧別町,15752.0,3868.0,2022
01560,滝上町,3137.0,1018.0,2022
01561,興部町,7221.0,1786.0,2022
01562,西興部村,1855.0,467.0,2022
01563,雄武町,8898.0,2050.0,2022
01564,大空町,11075.0,3294.0,2022
01571,豊浦町,3735.0,1396.0,2022
01575,壮瞥町,2624.0,935.0,2022
01578,白老町,16663.0,6318.0,2022
01581,厚真町,6307.0,1907.0,2022
01584,洞爺湖町,9137.0,3333.0,2022
01585,安平町,18226.0,3155.0,2022
01586,むかわ町,9957.0,3379.0,2022
01601,日高町,16761.0,5181.0,2022
01602,平取町,6763.0,2080.0,2022
01604,新冠町,7642.0,2391.0,2022
01607,浦河町,17241.0,5335.0,2022
01608,様似町,4852.0,1763.0,2022
01609,えりも町,6045.0,1956.0,2022
01610,新ひだか町,28608.0,9324.0,2022
01631,音更町,65147.0,20393.0,2022
01632,士幌町,12270.0,2954.0,2022
01633,上士幌町,9262.0,2443.0,2022
01634,鹿追町,9860.0,2651.0,2022
01635,新得町,7770.0,2528.0,2022
01636,清水町,13723.0,4285.0,2022
01637,芽室町,31122.0,8808.0,2022
01638,中札内村,7013.0,1960.0,2022
01639,更別村,6567.0,1646.0,2022
01641,大樹町,9078.0,2670.0,2022
01642,広尾町,8878.0,2724.0,2022
01643,幕別町,38154.0,12167.0,2022
01644,池田町,8799.0,2787.0,2022
01645,豊頃町,5092.0,1401.0,2022
01646,本別町,9903.0,3035.0,2022
01647,足寄町,9327.0,2965.0,2022
01648,陸別町,3232.0,983.0,2022
